0	0.69433	0.03500
1000	0.78650	0.09633
2000	0.83933	0.14467
3000	0.85617	0.19500
4000	0.87400	0.31867
5000	0.88383	0.28633
6000	0.88300	0.33833
7000	0.90300	0.35533
8000	0.89300	0.35567
9000	0.89783	0.36600
10000	0.91350	0.40433
11000	0.91933	0.50467
12000	0.91150	0.45333
13000	0.92417	0.56800
14000	0.91500	0.51500
15000	0.91867	0.56800
16000	0.91983	0.52967
17000	0.92700	0.54333
18000	0.92333	0.49933
19000	0.91283	0.50567
20000	0.92950	0.59800
21000	0.92833	0.58067
22000	0.92867	0.54067
23000	0.93217	0.54233
24000	0.92933	0.49800
25000	0.92233	0.58000
26000	0.93350	0.39333
27000	0.92333	0.52067
28000	0.92450	0.56233
29000	0.92667	0.53433
30000	0.92567	0.52667
31000	0.93083	0.53033
32000	0.92700	0.55267
33000	0.93350	0.52567
34000	0.92667	0.61467
35000	0.91800	0.40567
36000	0.91567	0.54533
37000	0.92667	0.45600
38000	0.92250	0.52933
39000	0.94150	0.62767
40000	0.92317	0.60733
41000	0.92750	0.49733
42000	0.93550	0.52767
43000	0.93833	0.63400
44000	0.91800	0.48033
45000	0.91033	0.46367
46000	0.93483	0.53333
47000	0.92817	0.56433
48000	0.94233	0.58900
49000	0.92800	0.55567
50000	0.92867	0.57500
51000	0.93167	0.65600
52000	0.93800	0.66067
53000	0.93383	0.57767
54000	0.91650	0.52700
55000	0.93683	0.56900
56000	0.91400	0.46933
57000	0.91767	0.51567
58000	0.93983	0.54633
59000	0.93383	0.56667
60000	0.93733	0.57933
61000	0.93533	0.54333
62000	0.91933	0.51633
63000	0.92467	0.54233
64000	0.93650	0.52067
65000	0.93617	0.56633
66000	0.92067	0.48067
67000	0.91400	0.55467
68000	0.93800	0.63900
69000	0.92633	0.52133
70000	0.94133	0.60867
71000	0.93517	0.58067
72000	0.93317	0.57633
73000	0.93550	0.44033
74000	0.93183	0.59533
75000	0.94683	0.64967
76000	0.91667	0.53400
77000	0.92417	0.58200
78000	0.93783	0.57767
79000	0.93833	0.64700
80000	0.94350	0.58933
81000	0.92900	0.53767
82000	0.93667	0.65033
83000	0.92783	0.59633
84000	0.93300	0.57067
85000	0.93633	0.37633
86000	0.93783	0.59500
87000	0.93933	0.54300
88000	0.93767	0.65567
89000	0.92967	0.55967
90000	0.93400	0.54100
91000	0.94383	0.62200
92000	0.94217	0.59867
93000	0.93883	0.57467
94000	0.94117	0.63967
95000	0.92067	0.50400
96000	0.93300	0.61400
97000	0.94650	0.70967
